## 训练轨迹跟踪任务

[13189120] reward=139.2 completion=96.1% | SUCCESS:92%, DEVIATE:7%, CRASH:1%
[13271040] reward=131.9 completion=93.5% | SUCCESS:88%, DEVIATE:10%, CRASH:2%
[13352960] reward=133.6 completion=94.2% | SUCCESS:88%, DEVIATE:11%, CRASH:1%
[13434880] reward=135.5 completion=96.9% | SUCCESS:90%, DEVIATE:9%, CRASH:1%
[13516800] reward=140.7 completion=98.4% | SUCCESS:94%, DEVIATE:5%, CRASH:1%
[13598720] reward=134.1 completion=96.4% | DEVIATE:10%, SUCCESS:89%, CRASH:1%
[13680640] reward=132.9 completion=94.5% | SUCCESS:89%, DEVIATE:9%, CRASH:2%
[13762560] reward=137.9 completion=96.4% | SUCCESS:92%, DEVIATE:8%
[13844480] reward=139.4 completion=97.3% | SUCCESS:93%, DEVIATE:7%
[13926400] reward=136.6 completion=96.8% | SUCCESS:91%, DEVIATE:8%, CRASH:1%
[14008320] reward=139.9 completion=96.8% | SUCCESS:93%, DEVIATE:7%
[14090240] reward=134.0 completion=96.6% | SUCCESS:89%, DEVIATE:11%
[14172160] reward=143.0 completion=98.6% | SUCCESS:96%, DEVIATE:4%
[14254080] reward=133.4 completion=95.8% | SUCCESS:89%, DEVIATE:10%, CRASH:1%
[14336000] reward=131.6 completion=93.8% | SUCCESS:87%, DEVIATE:12%, TIMEOUT:1%
[14417920] reward=133.8 completion=95.4% | SUCCESS:89%, CRASH:1%, DEVIATE:10%
[14499840] reward=135.0 completion=96.2% | SUCCESS:90%, DEVIATE:9%, CRASH:1%
[14581760] reward=141.8 completion=97.4% | SUCCESS:95%, CRASH:1%, DEVIATE:4%
[14663680] reward=141.2 completion=96.9% | SUCCESS:94%, DEVIATE:5%, CRASH:1%
[14745600] reward=136.7 completion=96.5% | SUCCESS:90%, DEVIATE:10%
[14827520] reward=139.0 completion=97.0% | SUCCESS:92%, CRASH:1%, DEVIATE:7%
[14909440] reward=139.7 completion=97.3% | DEVIATE:8%, SUCCESS:92%
[14991360] reward=140.8 completion=97.8% | SUCCESS:94%, DEVIATE:5%, CRASH:1%
[15073280] reward=144.0 completion=97.7% | SUCCESS:94%, DEVIATE:5%, CRASH:1%
 100% ━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━━ 15,073,280/15,000,000  [ 6:45:00 < 0:00:00 , 805 it/s ]
完成: /scratch/jiaqi/gym_pybullet/task2/../checkpoints/task2
